not-joy	Haluat kännätä ja rypeä itsesäälissä.
joy	Tuntuu mukavalta päästä taas hoitotyön pariin . :)
joy	Ilo oli minun puolellani.
not-joy	Turkkilaiset kollegani suuresta Turkin kansalliskokouksesta harmittelevat samoin tätä epäkohtaa , nimittäin että kukaan ei halua ilmeisesti puhua heidän kanssaan , ei kansallisista hallituksista tai parlamenteista eikä myöskään lähes kaikista eurooppalaisista instituutioista .
joy	Haluan sanoa, että olet tehnyt loistavaa työtä.
joy	Hyvä kun muistutit, että Noin viikon uutiset ilmaantuu taas kuvioihin😊
not-joy	Orpo ja Soini twiittaavat, että hallitusyhteistyötä ei voida jatkaa.
joy	Moskova on kaunis keväällä.
not-joy	Musta ja Valkoinen haihtuvat keltaiseksi jauheeksi ja painuvat lattian alle .
joy	Itsetehdyt croissantit maistuvat ihanilta .
not-joy	Jos sinusta tulee joskus sankari, lupaan olla kunnollinen ihminen.
not-joy	Miksi te juotte kylmää kahvia?
not-joy	Minun pitäisi käyttää sitä.
joy	Meille riittää, että pelastuit. Hyvä voittaa aina pahan.
not-joy	* 19. elokuuta 2009 : Demokraattien tappouhkauksia USA:ssa
joy	Kiitos, että olet syntynyt.
not-joy	Selviän minäkin jollei pääni lätsähdä asfalttiin tai jollei pääni muuten selviä tästä emansipatorisesta pikku huppelistani .
not-joy	Valo-Filmin yritteliäisyys ei saanut lehdistössä huomiota eikä kannustusta.
not-joy	Eihän tämä mitään haittaa.
not-joy	Näillä minä ainakin saattaisin puuttua peliin ja olisihan se silloin kiva nähdä tuollainen valtakirja.
not-joy	Nassau ja Suffolk ovat purkissa.
not-joy	Siinä se vika on!
joy	Hän arvostaa minua suuresti.
not-joy	Et voi siirtää sitä.
